Word Type,Word
English,good
Phonetic,nezô / nezû
English,Good Friday
Phonetic,Åuets’eldél Dziné Nedhé
English,good-bye (I will see you again)
Phonetic,nanest’î lasâ
English,goose
Phonetic,det’â/det’an
English,gooseberry (“thorn berry”)
Phonetic,daghósjí
English,"gossiping, he/she is ..."
Phonetic,æeåná yaåti
English,government (territorial)
Phonetic,dizñ n‡n ts’‡n k’áldhÿr
English,government employee
Phonetic,níghâ k’áldhÿr ha æeghálana
English,grain
Phonetic,tå’olá
English,grainfield
Phonetic,tå’olá neshe k’é
English,"grandchild, my …"
Phonetic,seyaz beyaz /
English,"grandchildren, my …"
Phonetic,seskéne beskéne
English,"grandfather, my …"
Phonetic,setsíe
English,"grandmother, my (Grandma)"
Phonetic,setsoné (æené)
English,"grass, weed"
Phonetic,tå’o(gh)
English,grasshopper
Phonetic,æurátth‡n
English,gravel
Phonetic,tthedhi
English,Gravel Ridge
Phonetic,Ttheshédhaze
English,graveyard
Phonetic,dÿnetth’‡n k’é
English,gravy
Phonetic,tåéschás
English,gray
Phonetic,delba
English,grayling or bluefish
Phonetic,ts’ánt’i / ts’añt’in
English,grease
Phonetic,tåes
English,Great Bear Lake
Phonetic,Sastué
English,Great Slave Lake
Phonetic,Tu Nedhé /
English,grebe
Phonetic,nõtáh
English,"grebe, eared..."
Phonetic,nõtáh
English,"greedy for food, she/he is …"
Phonetic,bedhénint’i
English,"greedy, she/he is …"
Phonetic,æasí ghâ høtå’eth hanidhÿn
English,green
Phonetic,dzeretå’es lát’î / t’áncháy lát’î
English,green (dark)
Phonetic,dzeretå’es delzÿn lát’î /
English,green (light)
Phonetic,dzeretå’es delbes
English,green wood
Phonetic,dedlin
English,grill
Phonetic,bek’e het’éth
English,grindstone
Phonetic,tthe nareltth’el
English,"groaning, she/he is ..."
Phonetic,k’uredi
English,ground (earth)
Phonetic,ní
English,ground meat
Phonetic,b‡r náldÿth
English,ground pork
Phonetic,gugúshtth‡n náldÿth
English,groundhog
Phonetic,tthÿle
English,grouse (ruffled)
Phonetic,æetthÿri
English,grouse (sharp-tailed)
Phonetic,æeltáidhi
English,grouse (spruce)
Phonetic,di
English,"grown up, she/he/it is …"
Phonetic,néyâ
English,"grows, she/he/it …"
Phonetic,neye
English,grub box
Phonetic,tth’áy til
English,guard
Phonetic,dÿne k’élni / dÿne haåni
English,gum
Phonetic,dzé
English,"gums, a person’s ..."
Phonetic,dÿneghutth‡n
English,gun
Phonetic,æeåk’ídhe
English,gunfire
Phonetic,dáæeåk’íth
English,gun case
Phonetic,æeåk’íthk’ã
English,Gwich’in (Loucheux)
Phonetic,Deg‡th Dÿné / Degéth Dÿné
English,gym
Phonetic,sekui sade kuç
English,hail
Phonetic,yathlu
English,hailstorm
Phonetic,yathlu natå’ír
English,hair dryer
Phonetic,bet’á dÿnetthíghá narejá
English,"hair, a person’s body ..."
Phonetic,dÿnetth’ighá
English,"hair, a person’s head ..."
Phonetic,dÿnetthíghá
English,hairdresser
Phonetic,dÿnetthíghá seåæî dÿné
English,haireater (long-horn beetle)
Phonetic,tthíghaldél
English,hairpin
Phonetic,tthígha hutún
English,hairy caterpillar
Phonetic,k’áígú
English,half
Phonetic,tanizñ
English,Halloween
Phonetic,Æeyun Dziné
English,hallway
Phonetic,æeåtóniæa
English,ham
Phonetic,gugúshtth‡n
English,hammer
Phonetic,límardú
English,hand games
Phonetic,dódzi
English,"hand, a person’s ..."
Phonetic,dÿnelá
English,"hand, back of a person’s ..."
Phonetic,dÿnelat’á
English,handicraft shop
Phonetic,æenéåkâ kuç
English,handcuffs
Phonetic,bet’á dÿnelá hécheth
English,handicraft (sewing)
Phonetic,æasí æenélkâ
English,handkerchief / scarf
Phonetic,k’oth hézelchÿth / k’othchÿth
English,"hanging it (clothing) up, she/he is .."
Phonetic,daghárñåchuth
English,"hanging up a picture, she/he is ..."
Phonetic,dÿnení æerehtå’ís datñ
English,hankie for nose
Phonetic,k’ozelchÿth
English,"happy, she/he is …"
Phonetic,bahorélyâ / benié
English,hard (situation)
Phonetic,húreníle / búreníle
English,hard (thing)
Phonetic,dey‡r
English,hard (to untie)
Phonetic,bek’e het’ar húreníle / búreníle
English,"hard of hearing, she/he/it is..."
Phonetic,dziút’ñle
English,"hard (to touch), he/she/it is ..."
Phonetic,æey‡r
English,hard/difficult
Phonetic,búreníle
English,harness
Phonetic,batå’ul
English,"harvests something, she/he ..."
Phonetic,t’así horelæî
English,hat
Phonetic,ts’ah
English,"hates him/her/it, she/he …"
Phonetic,yenélñle
English,have (I have it.)
Phonetic,sets’î.
English,hawk
Phonetic,æîyes æeldél
English,hay
Phonetic,tå’o
English,Hay River
Phonetic,Hátå’odesche /Hátå’oresche
English,Hay River People
Phonetic,Hátå’odeschet’iné
English,hazard
Phonetic,bets’á honejÿr
English,head scarf
Phonetic,tthíts’eåchÿth
English,"head, a person’s ..."
Phonetic,dÿnetthí
English,"head, back of a person’s ..."
Phonetic,dÿnetth’íe
English,"head, top of a person’s ..."
Phonetic,dÿnetthít’a
English,"headache, she/he has a ..."
Phonetic,betthí æeya
English,headwind (upwind)
Phonetic,seréåts’i
English,"heals, it ..."
Phonetic,nají
English,health (poor)
Phonetic,æaténaíle
English,health centre / hospital
Phonetic,æeya kuç
English,healthy
Phonetic,æaténa
English,hearing (hard of)
Phonetic,dziút’îchoíle
English,"hears it, she/he …"
Phonetic,yerítth’a
English,"hears, she/he/it …"
Phonetic,dítth’a
English,heart attack
Phonetic,dÿnÿdzié nádhÿr
English,"heart attack, she/he has a ..."
Phonetic,bedzíé nádhÿr
English,"heart, a person’s ..."
Phonetic,dÿnedzié
English,heartburn
Phonetic,shátth’ÿn
English,heart murmur
Phonetic,dÿnÿdzié heltåi
English,heaven
Phonetic,yak’e
English,"heavy, she/he/it is ..."
Phonetic,nedáth
English,"heel, a person’s .."
Phonetic,dÿnekeåtálé
English,helicopter
Phonetic,dzeret’áy tsóæaze
English,hell
Phonetic,dáísåî kuç / t’abesåî kuç
English,helper / assistant
Phonetic,dÿne ts’éni
English,"helpful, she/he is …"
Phonetic,hats’únuní
English,hemoglobin
Phonetic,bet’á dÿned‡l æate hena
English,hemophilia
Phonetic,dÿned‡l huriåæaíle
English,hemorrhoids
Phonetic,dÿnek’aítth‡l hátå’ir
English,here
Phonetic,jâ
English,hide / skin
Phonetic,æedh‡th
English,hide for drum
Phonetic,æelghÿl ha æedh‡th
English,hide on a frame
Phonetic,torílchÿth
English,hide-n-seek
Phonetic,æeåch’á nádezelæñ
English,"hiding, she/he is ..."
Phonetic,nádÿnelæñ
English,high
Phonetic,nárîdhá
English,high blood pressure
Phonetic,bedzí høtå’éth æeghálana
English,high mass
Phonetic,lamés nedhé
English,high-heeled shoe
Phonetic,bekétht‡l nárîdhá
English,highway
Phonetic,bethch‡n tîlu (or tûlu)
English,hill
Phonetic,shéth
English,hill (high country)
Phonetic,dáhlá
English,hill (sloping down)
Phonetic,shéth dáæa
English,hill (sloping up)
Phonetic,shéth káæa
English,hillside
Phonetic,shétht’a
English,hilltop
Phonetic,shéthlaí
English,him/her/it
Phonetic,be- or ye- or æeyi
English,hip waders
Phonetic,tudhél neth
English,"hip, a person’s ..."
Phonetic,dÿneæádhé
English,his / hers / its
Phonetic,bets’î
English,"hockey, we play..."
Phonetic,satsánke sats’edé
English,hoe
Phonetic,ts’ús tthêl / ts’és tthêl
English,"holds , she/he/it …"
Phonetic,yutún
English,hole
Phonetic,hayúniæá
English,hollow (depression)
Phonetic,hús / húzé
English,holy oil
Phonetic,degáy tåezé
English,holy water
Phonetic,degáy tué
English,home brew
Phonetic,jítué / jítú
English,homework
Phonetic,æerehtå’ís dÿnekuç beghálada
English,honey
Phonetic,tå’istthó ni
English,honeybee
Phonetic,tå’istthó
English,hood
Phonetic,ts’ahtth’ú
English,hoof of (moose)
Phonetic,(deníe)ké
English,Hook Island
Phonetic,Jéthnué
English,"hopeful, she/he is …"
Phonetic,danánidhÿn
English,"hops around, she/he/it …"
Phonetic,yákay
English,horizon
Phonetic,t’aiåtha ts’‡n nñt’i
English,horned (eared) grebe
Phonetic,nõtáh
English,horns
Phonetic,æedé
English,horse
Phonetic,åîcho(gh)
English,horse (mare)
Phonetic,åîcho dets’í
English,horse (stallion)
Phonetic,åîcho deyeth
English,horsefly / bulldog fly
Phonetic,tå’is
English,"hospitable, she/he is …"
Phonetic,nezô dÿn æâåthÿn
English,hospital
Phonetic,æeya kuç
English,hot
Phonetic,nédhÿl
English,"hot chocolate, cocoa (bison blood)"
Phonetic,æejÿredÿl déthtur
English,hot potato
Phonetic,núshi nédhÿl
English,hotel/motel
Phonetic,nats’etís kuç
English,hour
Phonetic,sadzié
English,house
Phonetic,kuê
English,house (empty)
Phonetic,kuê tth’ÿné
English,house (small)
Phonetic,kuêze
English,house/dwelling
Phonetic,kuê
English,how
Phonetic,æedlát’u
English,How are you?
Phonetic,Æedlánet’e-a?
English,How come? / Why?
Phonetic,Æedlát’e t’á?
English,How is she/he/it?
Phonetic,Æedlát’e-a?
English,How much does it cost?
Phonetic,Æedlárñåtí-a?
English,How much? / How many?
Phonetic,Æedlánélt’e-a?
English,How old is she/he/it?
Phonetic,Æedlánélt’e begháye?
English,however
Phonetic,hát’e húlí
English,hung fish (stick fish)
Phonetic,åue daîåtñ
English,"hungry, she/he/it is …"
Phonetic,b‡r badhi
English,hunter
Phonetic,nálzé dÿné
English,"hunting, she/he is ..."
Phonetic,nálzé
English,"hurts, it ..."
Phonetic,æeya
English,"husband, my …"
Phonetic,sedÿne
English,hymn
Phonetic,yaåti kuç dáts’ejÿn
English,hypodermic needle
Phonetic,thatîl bet’á denígu
English,hypothermia
Phonetic,gájÿn hedli
English,"hysterectomy, she has a ..."
Phonetic,sekuidh‡th beghâ híåchu
English,ice
Phonetic,tÿn
English,ice (starting to freeze)
Phonetic,detÿn
English,ice break-up on river
Phonetic,åuregós
English,ice chisel
Phonetic,æekñt’a / æedé
English,ice fog
Phonetic,tets’‡l
English,ice hummock
Phonetic,tÿn heåyúl
English,ice jam
Phonetic,tÿn hñæâ
English,ice ridge
Phonetic,åuryís
English,ice starting to break up on river
Phonetic,åuregú
English,"ice, black ... (with no snow)"
Phonetic,tÿnts’í
English,"ice, candle ..."
Phonetic,æedhír or thi
English,"ice, floating ..."
Phonetic,tÿn helel
English,"ice, hanging, hollow ..."
Phonetic,tÿndhul
English,"ice, hard ..."
Phonetic,tÿn dey‡r
English,"ice, rotten ..."
Phonetic,tÿn tsñdhÿr
English,"ice, rough ..."
Phonetic,tÿnjÿr
English,"ice, thick ..."
Phonetic,tÿn detâ
English,"ice, thin .."
Phonetic,tÿn ts’et’ÿl
English,icicle
Phonetic,åur
English,if
Phonetic,nidé / dé / daxâ
English,"illness, chronic ..."
Phonetic,boneåthir / dáda
English,"illness, serious ..."
Phonetic,æeya dúe / dáda
English,"illness, terminal ..."
Phonetic,hena haíle / dáda
English,"imagines, she/he is"
Phonetic,benada bóret’î
English,immediately
Phonetic,døredÿné
English,immunization
Phonetic,dáda ch’á hígu ha
English,impossible
Phonetic,dúe
English,improved (better)
Phonetic,k’adhi
English,"improves, she/he ..."
Phonetic,k’adhi æane
English,in front of him/her/it
Phonetic,benedhe
English,in it
Phonetic,beyé / beyághe
English,in the future
Phonetic,yunedhé haæa / yunéth haæa
English,in the house
Phonetic,kuê yízî
English,in the middle of it
Phonetic,tanizî
English,in the past
Phonetic,húdhÿr
English,in the way
Phonetic,nuets’ø
English,in vain
Phonetic,æasí haile
English,including/with (with him/her/it)
Phonetic,hél (bél / bexél)
English,indigenous (native of a country)
Phonetic,æeyi n‡n ts’at’e
English,indigestion
Phonetic,chátth’ÿn
English,inedible
Phonetic,beghâ shéts’elyi ha æañle
English,inexpensive / cheap
Phonetic,détíle
English,infant
Phonetic,"tâåtsi, bebí k’aní dÿnelî"
English,"infected, it is ..."
Phonetic,tsñdhÿr
English,infection
Phonetic,tsñdhÿr
English,inflamed
Phonetic,dÿneka hílghas hél delk’os
English,Ingraham Trail
Phonetic,Ingraham Tîlué
English,"inhales, she/he ...."
Phonetic,æunéts’én héhji
English,inland waters
Phonetic,ch’atué
English,ink
Phonetic,æerehtå’ís tué
English,insect / bug
Phonetic,gu
English,inside him/her/it
Phonetic,beyághe
English,insulin
Phonetic,súga dáda naídi
English,interpreter/translator
Phonetic,dÿne xa æetáåti
English,intervention
Phonetic,æasí huríåæa hale
English,"intestines, a person’s ..."
Phonetic,dÿnets’ié
English,intravenous
Phonetic,tå’ul beyñt’i
English,Inuit (Eskimo)
Phonetic,Æeténá
English,Inuit games
Phonetic,Æeténá zané
English,Inuktitut (Inuit language)
Phonetic,æeténá yatí
English,iron (for clothes)
Phonetic,yúk’et’a
English,"ironing clothes, she/he is ..."
Phonetic,yú k’eæá
English,is that so
Phonetic,hát’e k’ela
English,island
Phonetic,nu
English,"island, rock ..."
Phonetic,tthenu
English,"itchy, it is ..."
Phonetic,hegheth
English,jack (for lifting things)
Phonetic,bet’á æasí niríldeth
English,jacket
Phonetic,æi
English,"jacket, moosehide ..."
Phonetic,denídh‡th æi
English,Jackfish Creek
Phonetic,Æuldaydestsÿl
English,jackfish/pike
Phonetic,æulday
English,jackpine
Phonetic,gane
English,jail
Phonetic,dÿne dárñla kuç
English,jam
Phonetic,jíchás
English,janitor
Phonetic,sørithÿn dÿné / saåæî dÿné
English,January
Phonetic,Æeåets’elts’ún Zá
English,Japanese (dwarf)
Phonetic,Dÿnetsÿleze
English,jar
Phonetic,tu til
English,jaundice
Phonetic,dÿnetth‡n delttho dáda
English,"jaw, a person’s ..."
Phonetic,dÿneyétth’ÿné
English,"jealous, she/he is …"
Phonetic,ch’alni
English,jeans
Phonetic,tutå’áæi
English,jelly
Phonetic,jiéchas
English,Jesus
Phonetic,Sezús
English,jewelry
Phonetic,æasí bénat’î bet’á hat’î
English,joints
Phonetic,æeåghánat’ay
English,joker (in cards)
Phonetic,kets’‡l
English,juice
Phonetic,jítú
English,juice (powdered)
Phonetic,jús deltur
English,July
Phonetic,Tsâba Nályé Zá
English,jump rope / skipping
Phonetic,tå’ul tÿth yálgus
English,"jumps down, she/he/it …"
Phonetic,dáågos
English,"jumps, she/he/it …"
Phonetic,yélgos
English,junction (roads)
Phonetic,æeåít’a
English,junction (water)
Phonetic,åídlî
English,June
Phonetic,Benigés Zá
English,juniper
Phonetic,datsãjí
English,junk food
Phonetic,b‡r bet’óré æaíle
English,just across from
Phonetic,betach’azi
English,keel of boat
Phonetic,ts’i tå’aghé hét’ath
English,"keeping busy, she/he is ..."
Phonetic,k’óreåæaíle
English,kerchief / neck scarf
Phonetic,k’othchÿth / k’oth hézelchÿth
English,kerosene
Phonetic,nátåezé
English,kettle
Phonetic,cheth til
English,key
Phonetic,ladlí
English,kick the can
Phonetic,satsán til theæeth
English,"kicks it away, she/he …"
Phonetic,yeyaíåæéth
English,"kicks it, she/he/it …"
Phonetic,yéæeth
English,"kicks it, she/he/it … (repeatedly)"
Phonetic,yuæeth
English,kidney
Phonetic,æets’és
English,"kidney, a person’s ..."
Phonetic,dÿnets’‡zé
English,kidney infection
Phonetic,dÿnets’‡zé húrñdhÿr
English,kidney stones
Phonetic,dÿnets’‡zé beyé tthe
English,killdeer
Phonetic,k’áílicho
English,kilometer
Phonetic,dechÿnaze
English,"kind, she/he is …"
Phonetic,sanidhÿn
English,kindling
Phonetic,nátthel
English,king
Phonetic,k’ódhi nedhé
English,"kisses him/her/ it, she/he/it …"
Phonetic,yelts’ún
English,kitchen
Phonetic,b‡r káåt’éth kuç
English,kitten
Phonetic,bãlay chízeze
English,kleenex
Phonetic,bet’á ts’etsî
English,knap-sack
Phonetic,naåchéth
English,"knee, a person’s ..."
Phonetic,dÿnedzagór
English,"kneecap, a person’s ..."
Phonetic,dÿnedzagórtsó
English,"kneeling down, (already on knees)"
Phonetic,nígóréåya
English,knife
Phonetic,bes
English,knife blade
Phonetic,besk’á
English,knife for skinning
Phonetic,bes bet’á æasí k’etthélch’ul
English,"knife, pocket ..."
Phonetic,t’ák‡l bezaze
English,"knife, pointed ..."
Phonetic,besch’ú
English,"knife, table ..."
Phonetic,beskúr
English,knot
Phonetic,shás
English,knotted rope/ string
Phonetic,shásdól
English,"know, I don’t ..."
Phonetic,bek’óreshâñle
English,"know-it-all, she/he is a …"
Phonetic,æorelyø yek’órelyâ henidhÿn
English,"knowledgeable, she/he is ..."
Phonetic,æasí horîshâ
English,"knows it/him/her, she/he is …"
Phonetic,yek’órelyâ
English,"knuckle, a person’s ..."
Phonetic,dÿnelátth’ÿné
English,"labour, she is in ..."
Phonetic,sekui dÿneåé
English,labour pains / contractions
Phonetic,sekui dÿneåe t’á heådo
English,Labrador Tea
Phonetic,nagoth
English,ladle
Phonetic,åuscho
English,Lady Evelyn Falls
Phonetic,Náîlîcho
English,lake
Phonetic,tu
English,lakeshore
Phonetic,tabã
English,lamb
Phonetic,bãlaytth‡naze
English,lamp
Phonetic,k’ók’ÿn
English,lamprey (eel)
Phonetic,åue hút’úi
English,land
Phonetic,ní / n‡n
English,land (out of sight)
Phonetic,ní húret’île
English,landslide
Phonetic,ní horíltth’ÿr
English,Lapland Longspur
Phonetic,tthech‡ncho
English,lard
Phonetic,tåes
English,lard pail
Phonetic,tåes til
English,large intestines
Phonetic,dÿnets’iécho
English,large truck
Phonetic,bethch‡ncho
English,larva (fly larva)
Phonetic,ts’usgáy
English,laryngitis
Phonetic,dÿneyí k’aduth
English,last month
Phonetic,æuní za
English,last one
Phonetic,nade
English,last one of all
Phonetic,æaté nade
English,last year
Phonetic,æuní ghayé
English,latch
Phonetic,tîdá k’e theæâ
English,later
Phonetic,nadizñ
English,"laughing, she/he is ..."
Phonetic,nadlogh
English,laundry (dirty clothes)
Phonetic,yúdze
English,laundry room
Phonetic,yú k’enaltsil kuç
English,lawyer
Phonetic,dÿne k’edareni dÿné
English,"lazy, she/he is …"
Phonetic,ts’oredí
English,lazy eye
Phonetic,nezø benaghé dáháreltaîle
English,leader
Phonetic,dÿne tthe theda
English,leaf
Phonetic,t’áncháy t’áné
English,leaning against it
Phonetic,bek’ézñ chanitî
English,lean-to (spruce boughs)
Phonetic,æahåie
English,"leaping, she/he/it is …"
Phonetic,yáriltÿl
English,"learning, she/he is ..."
Phonetic,yereldî
English,"learns quickly, she/he ..."
Phonetic,æeghã yereldî
English,leech / bloodsucker
Phonetic,chút’úi / høt’úi
English,left side
Phonetic,æîts’ízak’adhe
English,"leg, a person’s ..."
Phonetic,dÿnetth’ÿné
English,legend (story)
Phonetic,hani
English,lens of a person’s eye
Phonetic,dÿnenalúzé
English,lettuce
Phonetic,t’áncháyts’‡l
English,leukemia
Phonetic,dÿned‡l ta gu dáda
English,librarian
Phonetic,æerehtå’ís thela k’élni
English,library
Phonetic,æerehtå’ís thela kuç
English,lice / louse
Phonetic,yá
English,lichen
Phonetic,tthetsñ
English,lifejacket
Phonetic,bet’á ts’elel
English,"ligament, a person’s ..."
Phonetic,dÿnech’‡r
English,light (flashlight)
Phonetic,kúnaze
English,light (in weight)
Phonetic,nedáth æíle / nedádhíle
English,lightning
Phonetic,nagodheåt’í
English,like that
Phonetic,dát’ú
English,lion
Phonetic,æeghézudzar
English,"lips, a person’s ..."
Phonetic,dÿnedhá
English,liquid
Phonetic,tulát’e
English,liquor store
Phonetic,kúntué kuç
English,"listening, she/he is"
Phonetic,hurétth’â
English,little boy
Phonetic,dÿneyuaze
English,Little Buffalo River
Phonetic,Dz‡ldesche
English,Little Fishery
Phonetic,Tabñå K’é
English,little girl
Phonetic,ts’ékuaze
English,liver
Phonetic,æedh‡r
English,"liver, a person’s..."
Phonetic,dÿnedh‡r
English,living room
Phonetic,ts’éåtth’i kuç
English,lock
Phonetic,ladlí / bet’á dánareldith
English,log cabin
Phonetic,dechÿnlú kuç
English,log sawing
Phonetic,dechÿn det’áth
English,"loganberry, dewberry"
Phonetic,ts’ÿl nadlár
English,"lonesome, she/he is …"
Phonetic,æaneæa
English,long
Phonetic,nenéth
English,long ago
Phonetic,yunízî thá
English,long stockings
Phonetic,libá nenéth
English,longjohns
Phonetic,yút’ár nenéth
English,"looks at him/her/it, she/he/it …"
Phonetic,yeneåæî
English,"looks up, she/he/it …"
Phonetic,yudaghé huneåæî
English,Loon (common)
Phonetic,"t’ñbe, æñbe, ts’ñbe"
English,"lost, I am ..."
Phonetic,æáíya
English,"lost, it is ..."
Phonetic,æãtth’ÿr
English,"lost, she/he ... (at cards, game)"
Phonetic,beghâ néna
English,"lost, she/he is ..."
Phonetic,æãya
English,lots / many / much
Phonetic,åâ
English,"loud, it is ..."
Phonetic,darintå’‡th
English,Louise Falls
Phonetic,Náîlîcho
English,louse / lice
Phonetic,yá
English,"loves him/her/it, she/he …"
Phonetic,yeghânétâ
English,low
Phonetic,náredhíle
English,lowers his/her/its head…
Phonetic,yuyádétthi
English,lowest
Phonetic,k’étå’a
English,lucky
Phonetic,bets’úreni
English,lullaby
Phonetic,tâåtsi yené
English,lump
Phonetic,hãñåtsó
English,"lung, a person’s ..."
Phonetic,dÿnedzídidhé
English,"lying, she/he is.. (not telling the truth)"
Phonetic,hats’í
English,lynx
Phonetic,chíze
English,Mackenzie River
Phonetic,Descho(gh)
English,maggot
Phonetic,hínáy / hínaí
English,magic
Phonetic,ch’áháåthÿr
English,mail
Phonetic,æerehtå’ís
English,Mail Trail
Phonetic,Æerehtå’ís Tîlu
English,mailbox
Phonetic,æerehtå’ís lagés
English,"makes a sound, something …"
Phonetic,æasí dítth’a
English,"making a speech, she/he is ..."
Phonetic,dÿne ts’‡n yaåti
English,"making bannock, she/he is ..."
Phonetic,åést’éth heåt’éth
English,"making dryfish, she/he is ..."
Phonetic,æeåddháy det’áth
English,"making money, she/he is .. ."
Phonetic,tsâba heåtsi
English,"making tea, she/he is ..."
Phonetic,lidí heåtsi
English,make-up (for face)
Phonetic,bet’á sedezíldhÿn
English,mallard
Phonetic,chÿthcho
English,man
Phonetic,dÿneyu
English,"man, old ..."
Phonetic,æenékui
English,"man, young ..."
Phonetic,chelekui
English,manager / boss
Phonetic,k’áldhÿr
English,"manager, store ..."
Phonetic,k’ódhi k’áldhÿr
English,many/much
Phonetic,åâ
English,map
Phonetic,ní æerehtå’ís
English,March
Phonetic,Nîåts’icho(gh) Zá
English,marker
Phonetic,æerehtå’íschÿncho
English,"married, she or he is .."
Phonetic,hât’î
English,marrow
Phonetic,æeyaghé
English,marten
Phonetic,tha
English,"Mary, Blessed Virgin ..."
Phonetic,Degáy Marí
English,mass
Phonetic,lamés / yati
English,matches
Phonetic,dórík’â
English,math (adding)
Phonetic,æeåghárúåta
English,mattress
Phonetic,æétedh‡th
English,May
Phonetic,Degáy Marí Zá
English,maybe
Phonetic,æaxâ / hatósâ
English,maybe/ apparently/ might
Phonetic,to
English,mayor
Phonetic,háyorîla ha tthe theda
English,me
Phonetic,si / se-
English,me too
Phonetic,si tth’ú or si tth’iú
English,measles
Phonetic,bet’á dÿnetth’i delk’os
English,"measures it, she/he …"
Phonetic,yúådzay
English,measuring tape
Phonetic,bet’á húdza
English,meat
Phonetic,b‡r
English,"meat, bear ..."
Phonetic,sastth‡n
English,"meat, beaver ..."
Phonetic,tsátth‡n
English,"meat, butchered ..."
Phonetic,b‡r nát’ath
English,"meat, caribou ..."
Phonetic,æetth‡ntth‡n
English,"meat, dry ..."
Phonetic,æegÿné
English,"meat, fresh ..."
Phonetic,b‡r gódhé
English,"meat, moose ..."
Phonetic,denítth‡n
English,meatball
Phonetic,b‡rdól
English,mechanic
Phonetic,satsán k’élni
English,medicine power (spirit power)
Phonetic,æîk’ãzñ
English,member of legislature
Phonetic,beba æeåegéth dÿné
English,meningitis
Phonetic,dÿne betthíghã hílghas
English,menstrual cycle
Phonetic,ts’ékui æaté henaíle
English,"mentally ill, she/he is …"
Phonetic,betthí nezõle
English,Merganser
Phonetic,tthodhé
English,metal
Phonetic,satsán
English,metal box
Phonetic,satsán til
English,Métis
Phonetic,Beghárek’âze
English,"middle of it, in the ..."
Phonetic,tanizî
English,midnight
Phonetic,tÿdhe tanizî
English,mid-summer
Phonetic,sine tanize / sinanize
English,mid-winter
Phonetic,xay tanize
English,might/ apparently/ maybe
Phonetic,to / húto
English,migraine
Phonetic,høtå’édhé dÿnetthí æeya
English,mild weather
Phonetic,hurélyâ
English,mile
Phonetic,dechÿn
English,milk
Phonetic,æejÿretth’ué
English,"milk, canned ..."
Phonetic,satsán til æejÿretth’ué
English,"milk, condensed ..."
Phonetic,æejÿretth’ú dóghé
English,"milk, powdered ..."
Phonetic,æejÿretth’ú gÿné
English,mine (belongs to me)
Phonetic,sets’î
English,minister of church
Phonetic,that’ín yaåti
English,mink
Phonetic,ttheåjus
English,"minute, one ..."
Phonetic,æîåághe nugÿlé
English,miracle
Phonetic,beghâ noríya
English,mirage
Phonetic,niurñdel
English,mirror
Phonetic,núzelæî
English,miscarriage
Phonetic,nareltí
English,"miserable, she/he is …"
Phonetic,nálch’e
English,"missing, it is ..."
Phonetic,æónini
English,Mission Island
Phonetic,Nughé / Nughí
English,"misunderstands, she/he is …"
Phonetic,yenereníle
English,mitts
Phonetic,jis
English,"mitts, fur ..."
Phonetic,detå’ogh jis
English,mixed colours
Phonetic,æeåk’éch’arát’î
English,"moans, she/he ..."
Phonetic,k’uredi
English,moccasin
Phonetic,kek‡lke
English,moccasin (canvas top)
Phonetic,líbarlá kezeb‡r ke
English,Monday
Phonetic,Dzîk’ÿré
English,money
Phonetic,tsâba
English,money plate
Phonetic,tsâba tth’áy
English,"money, play ..."
Phonetic,tsâba nizî
English,month / sun / watch
Phonetic,sa
English,moon
Phonetic,æeådzi / æeldzi
English,"moon, full ..."
Phonetic,æeådzi dánéåæâ
English,"moon, last quarter ..."
Phonetic,æeådzi nanedi
English,"moon, new ..."
Phonetic,æeådzi híæâ
English,moose
Phonetic,deníe /dení
English,moose calf
Phonetic,deníaze
English,Moose Deer Island
Phonetic,K’étthínué
English,moose ears
Phonetic,denídzaghé
English,moose head
Phonetic,denítthí
English,moose tail
Phonetic,deníché
English,moose meat
Phonetic,denítth‡n
English,moose orphan
Phonetic,dení ts’ína
English,"moose, 3 to 4 year old ..."
Phonetic,deníyahgoze
English,"moose, bull ..."
Phonetic,deníyané
English,"moose, cow ..."
Phonetic,dení ts’úda
English,moosehide
Phonetic,denídh‡th
English,moose hair
Phonetic,deníghá
English,moose hair tufting
Phonetic,deníghát’á nánéåkâ
English,mop
Phonetic,bet’á dechÿntél k’enáåtsil
English,more than him/her/it
Phonetic,deæánélt’e
English,morning
Phonetic,k’abñdÿne
English,mosquito
Phonetic,dejúle
English,mosquito bar (net to sleep under)
Phonetic,dejúldh‡th
English,moss
Phonetic,tth’ÿl
English,moss bag (baby bunting bag)
Phonetic,bêåtth’ú
English,moth
Phonetic,yú heldéle / yúldél
English,"mother, my … (Mom)"
Phonetic,æené / æamá
English,"mother-in-law, my …"
Phonetic,setsû / setsô
English,motor oil
Phonetic,tåesdóghé
English,mountain
Phonetic,shéth
English,mountain plateau
Phonetic,shéth da naåkar
English,mountain range
Phonetic,shéth hét’ÿth
English,"mountain, high ..."
Phonetic,shéth naridhá
English,"mountain, pointed ..."
Phonetic,shéthch’ué
English,"mountain, top of ..."
Phonetic,shéthlaí
English,"mountains, among the ..."
Phonetic,shéth nizî
English,"mountains, beyond the ..."
Phonetic,shéth æenask’adhe
English,mouse
Phonetic,dlúne
English,mouth of Big Buffalo River
Phonetic,Æejÿretúdezé Desche
English,mouth of Jean River
Phonetic,Thainurésche
English,mouth of Snuff Channel
Phonetic,K’ínunaghe
English,"mouth, a person’s ..."
Phonetic,dÿnedhá
English,movie / video
Phonetic,æerehtå’ís náda
English,movie screen
